switchID,period,year,propDev
1497_1-2,springMig,2015,0.00706794345645235
1497_1-2,winter2,2015,0.0370280600354246
1498_1-2,springMig,2015,0
1498_1-2,winter2,2015,0.0204869292045327
1499_1-2,springMig,2015,0.00200340578984273
1501_1-2,springMig,2015,0
1501_1-2,winter2,2015,0.0166867281151582
1502_1-2,springMig,2015,0
1503_1-2,springMig,2015,0
1503_1-2,winter2,2015,0.0146323755270727
1504_1-2,springMig,2015,0.00309789343246592
1510_1-2,springMig,2015,0
1512_1-2,springMig,2015,0
1516_1-2,springMig,2015,0
1517_1-2,springMig,2015,0
1520_1-2,springMig,2015,0
1530_3-4,winter2,2015,0.000518382646144031
1537_3-4,winter2,2015,0.000299416138529867
1539_3-4,winter2,2015,0
1539_4-5,springMig,2015,2.09718348258289e-05
1549_3-4,winter2,2015,0.000436751153750964
1560_1-2,winter2,2015,0.00501876452016441
1560_2-3,springMig,2015,0.000420639371845205
1561_2-3,springMig,2015,0.00049299940840071
1563_1-2,winter2,2015,0.0111707943147787
1563_2-3,springMig,2015,0.0173688852703711
1565_1-2,winter2,2015,0.000471564651513723
1565_2-3,springMig,2015,8.2788310290587e-05
1566_1-2,winter2,2015,0.000390799996187317
1566_2-3,springMig,2015,4.78251512470408e-05
1567_2-3,springMig,2015,0.00480557996485062
1568_1-2,winter2,2015,0.00293903357660628
1568_2-3,springMig,2015,0.00033554717330433
1569_2-3,springMig,2015,0.000633377270315148
172_1-2,winter2,2015,0
173_1-2,winter2,2015,0
174_1-2,winter2,2015,0.000457582135993411
177_1-2,springMig,2015,0
184_1-2,winter2,2015,0.0317930235551551
186_1-2,winter2,2015,0.0284560308426657
187_1-2,winter2,2015,0.0583164983164983
188_1-2,winter2,2015,0.0498614958448754
190_1-2,springMig,2015,0.0295156932030763
210_1-2,springMig,2015,0.00171883334859988
223_1-2,winter2,2015,0
