switchID,period,year,propCrop
1772_2-3,winter2,2019,0.0140562980226503
1773_2-3,winter2,2019,0.0163013547747549
1775_1-2,winter2,2019,0
1776_1-2,winter2,2019,0.000383398830633567
1777_1-2,winter2,2018,0.00917989552163108
1778_1-2,winter2,2019,0.0171648416691329
19_1-2,winter2,2020,0.000705307506027295
20_1-2,winter2,2020,0.0334608419639042
21_1-2,winter2,2020,0.0346556827064103
22_1-2,winter2,2020,0.00352048113242143
24_1-2,winter2,2020,0.000637222277290814
26_1-2,winter2,2020,0.0240573018409992
27_1-2,winter2,2020,0.000403280010754134
3_1-2,winter2,2020,0.000367236232575952
32_1-2,winter2,2020,0.0261699305199837
33_1-2,winter2,2020,0.00316932508962436
34_1-2,winter2,2020,0.0170109822594271
36_1-2,winter2,2020,0
39_1-2,winter2,2020,0.000367242012486228
4_1-2,winter2,2020,0.000887147713642912
40_1-2,winter2,2020,0.000617893155975113
41_1-2,winter2,2020,0.00520451546694033
42_1-2,winter2,2020,0.000897193578486494
43_1-2,winter2,2020,0.0074246354772341
44_1-2,winter2,2020,0.000417304874405459
45_1-2,winter2,2020,0.00025762259804813
46_1-2,winter2,2020,0.0005898110147207
48_1-2,winter2,2020,0.000825312688891989
49_1-2,winter2,2020,0.00434502532492958
5_1-2,winter2,2020,0.000228924626566703
50_1-2,winter2,2020,0.000485030941629035
51_1-2,winter2,2020,0
52_1-2,winter2,2020,0.00107684001737028
53_1-2,winter2,2020,0.00441878615370489
54_1-2,winter2,2020,0.0315844427042548
55_1-2,winter2,2020,0.00127404011912932
56_1-2,winter2,2020,0.00032605151613955
59_1-2,winter2,2020,0.000906547682283367
6_1-2,winter2,2020,0.000631358042256527
60_1-2,winter2,2020,0.000479692251805832
7_1-2,winter2,2020,0.0281041777821895
710_2-3,winter2,2017,0.00729541953158251
711_2-3,winter2,2017,0.0150010988066005
712_2-3,winter2,2017,0.00633495237019466
714_2-3,winter2,2017,1.58639507582968e-05
715_2-3,winter2,2017,0.0105660558457244
716_2-3,winter2,2017,0.00874179310682104
717_2-3,winter2,2017,0.00577867668303958
718_2-3,winter2,2017,0.00848230440761381
719_2-3,winter2,2017,0.00864905056853654
720_2-3,winter2,2017,0.0121966385107665
721_2-3,winter2,2017,0.00779499239175543
722_2-3,winter2,2017,0.00900546485474091
723_2-3,winter2,2017,0.00781604672982053
724_2-3,winter2,2017,0.00664716830630152
726_2-3,winter2,2017,0.00519598906107566
9_1-2,winter2,2020,0.0144525051008842
