id,p,numFeedgrounds,feedAccess
581_1-2,winter1,0,0
581_1-2,winter2,1,1
582_1-2,winter1,0,0
582_1-2,winter2,0,0
583_1-2,winter1,0,0
583_1-2,winter2,0,0
586_1-2,winter1,0,0
586_1-2,winter2,0,0
588_1-2,winter1,0,0
588_1-2,winter2,1,1
59_1-2,winter1,0,0
59_1-2,winter2,0,0
591_1-2,winter1,0,0
591_1-2,winter2,0,0
592_1-2,winter1,0,0
592_1-2,winter2,0,0
593_1-2,winter1,0,0
593_1-2,winter2,0,0
594_1-2,winter1,0,0
594_1-2,winter2,0,0
596_1-2,winter1,0,0
596_1-2,winter2,0,0
597_1-2,winter1,0,0
597_1-2,winter2,0,0
598_1-2,winter1,0,0
598_1-2,winter2,0,0
599_1-2,winter1,0,0
599_1-2,winter2,0,0
6_1-2,winter1,0,0
6_1-2,winter2,0,0
60_1-2,winter1,0,0
60_1-2,winter2,0,0
602_1-2,winter1,0,0
602_1-2,winter2,0,0
604_1-2,winter1,0,0
604_1-2,winter2,0,0
605_1-2,winter1,0,0
605_1-2,winter2,0,0
606_1-2,winter1,0,0
606_1-2,winter2,0,0
607_1-2,winter1,0,0
607_1-2,winter2,0,0
637_1-2,winter1,0,0
637_1-2,winter2,0,0
638_1-2,winter1,0,0
638_1-2,winter2,0,0
639_1-2,winter1,0,0
639_1-2,winter2,0,0
641_1-2,winter1,0,0
641_1-2,winter2,0,0
653_1-2,winter1,1,1
653_1-2,winter2,1,1
657_1-2,winter1,2,1
657_1-2,winter2,1,1
657_2-3,winter1,1,1
657_2-3,winter2,1,1
658_1-2,winter1,1,1
658_1-2,winter2,1,1
675_1-2,winter1,0,0
675_1-2,winter2,0,0
676_1-2,winter1,0,0
676_1-2,winter2,0,0
677_1-2,winter1,0,0
677_1-2,winter2,0,0
678_1-2,winter1,0,0
678_1-2,winter2,0,0
679_1-2,winter1,0,0
679_1-2,winter2,0,0
680_1-2,winter1,0,0
680_1-2,winter2,0,0
681_1-2,winter1,0,0
681_1-2,winter2,0,0
682_1-2,winter1,0,0
682_1-2,winter2,0,0
683_1-2,winter1,0,0
683_1-2,winter2,0,0
685_1-2,winter1,0,0
685_1-2,winter2,0,0
686_1-2,winter1,0,0
686_1-2,winter2,0,0
687_1-2,winter1,0,0
687_1-2,winter2,0,0
688_1-2,winter1,0,0
688_1-2,winter2,0,0
689_1-2,winter1,0,0
689_1-2,winter2,0,0
691_1-2,winter1,0,0
691_1-2,winter2,0,0
692_1-2,winter1,0,0
692_1-2,winter2,0,0
697_1-2,winter1,8,1
697_1-2,winter2,8,1
698_1-2,winter1,7,1
698_1-2,winter2,8,1
7_1-2,winter1,0,0
7_1-2,winter2,0,0
701_2-3,winter1,9,1
701_2-3,winter2,9,1
702_2-3,winter1,9,1
702_2-3,winter2,9,1
707_2-3,winter1,9,1
707_2-3,winter2,9,1
710_1-2,winter1,0,0
710_1-2,winter2,0,0
710_2-3,winter1,0,0
710_2-3,winter2,0,0
711_1-2,winter1,0,0
711_1-2,winter2,0,0
711_2-3,winter1,0,0
711_2-3,winter2,0,0
712_2-3,winter1,0,0
712_2-3,winter2,0,0
714_1-2,winter1,0,0
714_1-2,winter2,0,0
714_2-3,winter1,0,0
714_2-3,winter2,0,0
715_1-2,winter1,0,0
715_1-2,winter2,0,0
715_2-3,winter1,0,0
715_2-3,winter2,0,0
716_1-2,winter1,0,0
716_1-2,winter2,0,0
716_2-3,winter1,0,0
716_2-3,winter2,0,0
717_1-2,winter1,0,0
717_1-2,winter2,0,0
717_2-3,winter1,0,0
717_2-3,winter2,0,0
718_1-2,winter1,0,0
718_1-2,winter2,0,0
718_2-3,winter1,0,0
718_2-3,winter2,0,0
719_1-2,winter1,0,0
719_1-2,winter2,0,0
719_2-3,winter1,0,0
719_2-3,winter2,0,0
720_1-2,winter1,0,0
720_1-2,winter2,0,0
720_2-3,winter1,0,0
720_2-3,winter2,0,0
721_1-2,winter1,0,0
721_1-2,winter2,0,0
721_2-3,winter1,0,0
721_2-3,winter2,0,0
722_1-2,winter1,0,0
722_1-2,winter2,0,0
722_2-3,winter1,0,0
722_2-3,winter2,0,0
723_1-2,winter1,0,0
723_1-2,winter2,0,0
723_2-3,winter1,0,0
723_2-3,winter2,0,0
724_1-2,winter1,0,0
724_1-2,winter2,0,0
724_2-3,winter1,0,0
724_2-3,winter2,0,0
726_1-2,winter1,0,0
726_1-2,winter2,0,0
726_2-3,winter1,0,0
726_2-3,winter2,0,0
727_1-2,winter1,0,0
727_1-2,winter2,0,0
727_2-3,winter1,0,0
727_2-3,winter2,0,0
728_1-2,winter1,0,0
728_1-2,winter2,0,0
729_1-2,winter1,0,0
729_1-2,winter2,0,0
729_2-3,winter1,0,0
729_2-3,winter2,0,0
730_1-2,winter1,0,0
730_1-2,winter2,0,0
730_2-3,winter1,0,0
730_2-3,winter2,0,0
733_1-2,winter1,0,0
733_1-2,winter2,0,0
733_2-3,winter1,0,0
